idx,text,label
1,There is a light rain today. The roots of many plants are not moistened by rain.,effect
2,There is a light rain today. Tourists have seen many ripples.,None
3,Susan wants to buy a restricted pesticide. She bought rotenone.,effect
4,Susan wants to buy a restricted pesticide. He decided to buy amylase.,None
5,His parents stopped him. The child ran towards hippos.,cause
6,His parents stopped him. Mike wanted to have a bird who has the lest number of feathers.,None
7,The shamans were to start their sacred ceremonies. They disappear immediately after finishing eating the dead body.,None
8,The shamans were to start their sacred ceremonies. They moved to a cave.,effect
9,She mainly studied drugs. Lily likes the art form of truth.,None
10,She mainly studied drugs. Susan majored in pharmacology at university.,cause
11,Mario owns a factory which is in full automation. He spends lots of money buying machines each year.,effect
12,Mario owns a factory which is in full automation. The factory produces many different products in various fields.,None
13,He understood the pixels as their basic building blocks. The math teacher knows the importance of mnemonics.,None
14,He understood the pixels as their basic building blocks. The photographer has to edit digital images.,cause
15,He greeted the orcas in the water. The orcas spouted water to respond to him.,effect
16,He greeted the orcas in the water. He paid no effort to avoid the most dangerous vipers.,None
17,Vulnerable plants deserve protection. Placentas can block it.,None
18,Vulnerable plants deserve protection. Shrubs are in need of protection  throughout their life cycle.,effect
19,"Tom eats a lot of eggs every day. The cholesterol content in his body is extremely high, so he suffers from gallstones.",effect
20,Tom eats a lot of eggs every day. His hatchery can produce hundreds of millions of fertilized eggs every year.,None
21,Linkage failed to occure here. The particular membrane proteins were damaged.,cause
22,Linkage failed to occure here. This old tree shows Senescence.,None
23,The doctor applied hallucinogens to the patient despite its unpredictable effect. The patient fell asleep.,None
24,The doctor applied hallucinogens to the patient despite its unpredictable effect. The patient was in a dangerous state.,effect
25,Figs are more adapt to the condition of high temperature. Figs would be sweater.,effect
26,Figs are more adapt to the condition of high temperature. Regulation occurs from time to time.,None
27,There was a line of bulrushes. There was an excess terminal hair growth in a female with a male distribution pattern.,None
28,There was a line of bulrushes. They finally reached the mouth of the cave.,cause
29,Rays of varying wavelengths show different color. Sunshine striking the earth is composed of different colors.,effect
30,Rays of varying wavelengths show different color. The rays of the sun will be the most colorful on a particular place on earth soon.,None
31,Tom has glaucoma. He is afflicted with obesity.,None
32,Tom has glaucoma. Doctor advised him to use coleus.,effect
33,He said he could feel causalgia. A man had nerve injury.,cause
34,He said he could feel causalgia. He learned about the plants of the Sequoia family.,None
35,Jack keeps the goats alone. His mother avoids using disinfectants in their house.,None
36,Jack keeps the goats alone. The goat has a poor appetite.,effect
37,The researcher separated integral membrane proteins from the tonoplast. They are TIPs.,effect
38,The researcher separated integral membrane proteins from the tonoplast. He reported that he had successfully extracted hemoglobin.,None
39,Many pupils joined the class. They increased the size of the class.,effect
40,Many pupils joined the class. Teachers found that pupils have grown a lot.,None
41,The meat mixture dissolves after a while. Tom puts some meat chunks into water.,None
42,The meat mixture dissolves after a while. Tom puts some meat mixture into water.,cause
43,He was badly wounded. He still beared the scars.,effect
44,He was badly wounded. He died.,None
45,Amy sufferdfrom estrogen dysfunction. Doctors diagnosed low estrogen levels in her body.,None
46,Amy sufferdfrom estrogen dysfunction. The progestins in her body helped her get back to normal.,effect
47,She has got a piece of gold with high sense of fineness. Max bought his daughter Periwinkles.,None
48,She has got a piece of gold with high sense of fineness. Lucy has paid a lot of money.,cause
49,Productivity has increased five times over the past. The boss energized people to be productive.,None
50,Productivity has increased five times over the past. This factory dares to innovate and uses robots for production.,cause
51,Lili will choose a branch of systematics to continue her study. She chooses taxonomy.,effect
52,Lili will choose a branch of systematics to continue her study. She went to a college after graduation from high school.,None
53,They got separated. Solutes chromatographically reacted with the micelles.,None
54,They got separated. Solutes chromatographically interacted with the micelles.,cause
55,All devices inside were turned off. The beaker was broken down.,None
56,All devices inside were turned off. We have to reduced the energy consumption in that room to zero.,cause
57,Light does not zigzag. Light passes through the inhomogeneously refractive media.,None
58,Light does not zigzag. Light passes through the homogeneously refractive media.,cause
59,The orchid entwined on a tree this year. Tom cut down a tree.,None
60,The orchid entwined on a tree this year. Jack planted some orchids in his yard last year.,cause
61,It was snowing heavily. Tom lit the fireplace.,effect
62,It was snowing heavily. The shingle was loosen.,None
63,He opened the faucet and used the water. Tom wants to wash his hands.,cause
64,He opened the faucet and used the water. The researcher needed a bottle of water.,None
65,Tom has antigen in his body. He stays healthy every time the virus strikes.,effect
66,Tom has antigen in his body. Tom's body is getting stronger and stronger.,None
67,Bananas are yello. It's the side effect after having an operation.,None
68,Bananas are yello. Xanthophylls have the same color.,effect
69,I climbed for fun. I supplemented some carbohydrates.,None
70,I climbed for fun. I felt exhilarated.,effect
71,It turned out that it was marked by vertebrates. Tom has done a research about seawater.,None
72,It turned out that it was marked by vertebrates. He searched what is the culmination of nervous system evolution on the internet.,cause
73,The Covalence of this atom is seven. The atom needs 7 electrons to gain to produce a stable outer shell.,effect
74,The Covalence of this atom is seven. He bought a ticket to Egypt.,None
75,The pharaohs of Egypt were mummified after their death. These pharaoh's bodies are well preserved.,effect
76,The pharaohs of Egypt were mummified after their death. These mummies symbolize their eternal life.,None
77,She is familiar with the relationship of all the angels. Kim learned Phrenology.,None
78,She is familiar with the relationship of all the angels. She studied angelology in university.,cause
79,You can give it some twigs. I do not know how to cook this hare.,None
80,You can give it some twigs. I forget to buy food for my hare.,cause
81,He is interested in the study of beagles. Jerry is interested in the study on the oldest dogs living.,cause
82,He is interested in the study of beagles. The biologist has noticed that the bord has two short orange colored legs.,None
83,Some nonnative plants have appeared in the garden. They are amazingly capable.,None
84,Some nonnative plants have appeared in the garden. The gardener takes them into consideration.,effect
85,The is a piece of mango on the grass. Climbers can see emblem of China on it top.,None
86,The is a piece of mango on the grass. Ants went to eat the mango.,effect
87,The metabolism operated smoothly. There were enough glutathione to be conjugated.,cause
88,The metabolism operated smoothly. Vaccines activiated antobodies in Tom's body.,None
89,Today it is found that the reservoir was full. The reservoir was emptied.,None
90,Today it is found that the reservoir was full. There was a heavy rain yesterday.,cause
91,They have seen doctors all around the country to cure the wife's infertility. They gradually got psychological problems and can not fall asleep during night.,effect
92,They have seen doctors all around the country to cure the wife's infertility. They are very happy while traveling all around the world.,None
93,She sells rose seeds for a living. Maria plants a lot of roses.,cause
94,She sells rose seeds for a living. The woman's husband thought she was going to be rich because she said she had a great harvest.,None
95,The doctor found that her baby teeth were inflamed. This woman was required to have an amniocentesis.,None
